iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_tests,new_tests,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population
POL,Europe,Poland,2022-03-14,5818063.0,0.0,113444.0,0.0,,,0.16,6.1,tests performed,,,,,,22.52,124.03,27216.44,6.62,78.73,0.88,39857144
ALB,Europe,Albania,2020-05-23,916.0,0.0,31.0,0.0,13014.0,200.0,0.04,24.5,tests performed,,,,,,83.33,104.87,11803.43,2.89,78.57,0.8,2842318
BMU,North America,Bermuda,2022-01-05,6420.0,0.0,110.0,0.0,,,,,,114241.0,46400.0,45487.0,22354.0,,41.32,1308.82,50669.32,,82.59,,64207
BRA,South America,Brazil,2024-05-04,37511921.0,0.0,702116.0,0.0,,,,,,,,,,,,25.04,14103.45,2.2,75.88,0.76,215313504
OWID_NIR,Europe,Northern Ireland,2020-04-03,,,,,,,,,,,,,,,,,,,,,1896000
SHN,Africa,Saint Helena,2020-01-09,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,80.56,,5401
NRU,Oceania,Nauru,2024-06-10,5393.0,0.0,1.0,0.0,,,,,,,,,,,,682.45,12895.64,5.0,59.96,,12691
AIA,North America,Anguilla,2020-08-31,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,81.88,,15877
EGY,Africa,Egypt,2021-05-21,244520.0,0.0,14269.0,0.0,,,,,,,,,,,59.26,98.0,10550.21,1.6,71.99,0.71,110990096
NAM,Africa,Namibia,2023-01-05,170352.0,0.0,4082.0,0.0,,,,,,,,,,,,3.08,9541.81,,63.71,0.65,2567024
DJI,Africa,Djibouti,2021-11-23,13501.0,0.0,186.0,0.0,,,,,,,,,,,49.07,41.28,2705.41,1.4,67.11,0.52,1120851
NCL,Oceania,New Caledonia,2024-04-22,80064.0,0.0,314.0,0.0,,,,,,,,,,,,15.34,,,77.55,,289959
GHA,Africa,Ghana,2022-11-25,170996.0,0.0,1461.0,0.0,,,,,,,,,,,33.56,126.72,4227.63,0.9,64.07,0.61,33475870
ECU,South America,Ecuador,2024-07-29,1077288.0,0.0,36050.0,0.0,,,,,,,,,,,,66.94,10581.94,1.5,77.01,0.76,18001002
BES,North America,Bonaire Sint Eustatius and Saba,2021-10-25,2373.0,0.0,19.0,0.0,,,,,,,,,,,,,,,77.79,,27052
GHA,Africa,Ghana,2020-06-18,11964.0,0.0,0.0,0.0,267286.0,3561.0,0.13,7.7,tests performed,,,,,,62.04,126.72,4227.63,0.9,64.07,0.61,33475870
