location,iso_code,continent,date,total_cases,new_cases,total_deaths,new_deaths,new_cases_per_million,new_cases_smoothed_per_million,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,stringency_index,population_density,gdp_per_capita,extreme_poverty,hospital_beds_per_thousand,life_expectancy,human_development_index,population
Afghanistan,AFG,Asia,2024-08-04,235214.0,0.0,7998.0,0.0,0.0,0.0,994894.0,,435.0,0.17,5.8,tests performed,22964750.0,19151369.0,18370386.0,2729940.0,3316.0,0.0,54.42,1803.99,,0.5,64.83,0.51,41128772
Albania,ALB,Europe,2024-08-04,335047.0,0.0,3605.0,0.0,0.0,0.0,1613870.0,957.0,375.0,0.43,2.3,tests performed,3088966.0,1349255.0,1279333.0,402371.0,2541.0,11.11,104.87,11803.43,1.1,2.89,78.57,0.8,2842318
Algeria,DZA,Africa,2024-08-04,272139.0,18.0,6881.0,0.0,0.4,0.06,230553.0,,,,,tests performed,15267442.0,7840131.0,6481186.0,575651.0,147230.0,11.11,17.35,13913.84,0.5,1.9,76.88,0.75,44903228
American Samoa,ASM,Oceania,2024-08-04,8359.0,0.0,34.0,0.0,0.0,0.0,,,,,,,,,,,,,278.2,,,,73.74,,44295
Andorra,AND,Europe,2024-08-04,48015.0,0.0,159.0,0.0,0.0,0.0,300307.0,,91.0,0.7,1.4,tests performed,157072.0,57913.0,53501.0,43071.0,1973.0,11.11,163.76,,,,83.73,0.87,79843
Angola,AGO,Africa,2024-08-04,107481.0,0.0,1937.0,0.0,0.0,0.0,1618566.0,1459.0,1013.0,0.03,30.3,tests performed,27819132.0,16550642.0,9609080.0,3067091.0,,17.02,23.89,5819.5,,,61.15,0.58,35588996
Anguilla,AIA,North America,2024-08-04,3904.0,0.0,12.0,0.0,0.0,0.0,51382.0,,169.0,0.08,12.5,tests performed,24604.0,10854.0,10380.0,3309.0,1421.0,,,,,,81.88,,15877
Antigua and Barbuda,ATG,North America,2024-08-04,9106.0,0.0,146.0,0.0,0.0,0.0,16700.0,,26.0,0.01,181.8,tests performed,136512.0,64290.0,62384.0,9838.0,305.0,,231.84,21490.94,,3.8,77.02,0.78,93772
Argentina,ARG,South America,2024-08-04,10101218.0,54.0,130663.0,1.0,1.19,0.17,36663990.0,6236.0,36366.0,0.29,3.5,tests performed,116978521.0,41529058.0,34900613.0,37713094.0,1562.0,14.38,16.18,18933.91,0.6,5.0,76.67,0.84,45510324
Armenia,ARM,Asia,2024-08-04,452273.0,0.0,8777.0,0.0,0.0,0.0,3102267.0,1467.0,1467.0,0.0,333.3,tests performed,2256919.0,1150915.0,1030758.0,81354.0,,,102.93,8787.58,1.8,4.2,75.09,0.78,2780472
Aruba,ABW,North America,2024-08-04,44224.0,0.0,292.0,0.0,0.0,0.0,793.0,428.0,,,,tests performed,174914.0,90546.0,84368.0,,1.0,25.93,584.8,35973.78,,,76.29,,106459
Australia,AUS,Oceania,2024-08-04,11861161.0,0.0,25236.0,0.0,0.0,0.0,73370295.0,82399.0,67114.0,0.42,2.4,tests performed,69686752.0,22231734.0,21647523.0,19790466.0,21127.0,11.11,3.2,44648.71,0.5,3.84,83.44,0.94,26177410
Austria,AUT,Europe,2024-08-04,6082444.0,15.0,22534.0,0.0,1.66,0.24,189791719.0,97659.0,86208.0,0.08,12.4,tests performed,20468731.0,6899873.0,6683263.0,5405966.0,,35.19,106.75,45436.69,0.7,7.37,81.54,0.92,8939617
Azerbaijan,AZE,Asia,2024-08-04,835757.0,63.0,10353.0,0.0,6.12,0.87,6947820.0,6872.0,2341.0,0.02,58.9,tests performed,13857111.0,5373253.0,4862494.0,3362453.0,1651.0,34.94,119.31,15847.42,,4.7,73.0,0.76,10358078
Bahamas,BHS,North America,2024-08-04,39127.0,0.0,849.0,0.0,0.0,0.0,241200.0,567.0,134.0,0.35,2.9,tests performed,366359.0,174810.0,166972.0,36965.0,6771.0,20.37,39.5,27717.85,,2.9,73.92,0.81,409989
Bahrain,BHR,Asia,2024-08-04,696614.0,0.0,1536.0,0.0,0.0,0.0,9969082.0,7215.0,6220.0,0.28,3.6,units unclear,3476633.0,1241174.0,1226796.0,1008663.0,68.0,11.11,1935.91,43290.7,,2.0,77.29,0.85,1472237
Bangladesh,BGD,Asia,2024-08-04,2051348.0,40.0,29499.0,0.0,0.24,0.03,13820904.0,8536.0,2366.0,0.28,3.6,tests performed,361742554.0,151507162.0,142201684.0,68615250.0,18.0,13.89,1265.04,3523.98,14.8,0.8,72.59,0.63,171186368
Barbados,BRB,North America,2024-08-04,108582.0,57.0,593.0,0.0,201.9,28.84,697476.0,734.0,507.0,0.18,5.5,tests performed,384049.0,163853.0,155047.0,62848.0,4.0,11.11,664.46,16978.07,,5.8,79.19,0.81,281646
Belarus,BLR,Europe,2024-08-04,994037.0,0.0,7118.0,0.0,0.0,0.0,13220483.0,9650.0,7068.0,0.04,24.8,tests performed,22511000.0,6536392.0,6414996.0,5720777.0,,0.0,46.86,17167.97,,11.0,74.79,0.82,9534956
Belgium,BEL,Europe,2024-08-04,4872829.0,1277.0,34339.0,0.0,109.69,15.67,34315605.0,4743.0,11433.0,0.26,3.8,tests performed,31469387.0,9261641.0,9170945.0,13556521.0,6.0,11.11,375.56,42658.58,0.2,5.64,81.63,0.93,11655923
Belize,BLZ,North America,2024-08-04,71414.0,0.0,688.0,0.0,0.0,0.0,572900.0,1351.0,1012.0,0.15,6.9,tests performed,510717.0,258473.0,221402.0,53198.0,5470.0,11.11,16.43,7824.36,,1.3,74.62,0.72,405285
Benin,BEN,Africa,2024-08-04,28036.0,0.0,163.0,0.0,0.0,0.0,604310.0,,,,,tests performed,4232541.0,3697190.0,2742837.0,,,11.11,99.11,2064.24,49.6,0.5,61.77,0.55,13352864
Bermuda,BMU,North America,2024-08-04,18860.0,0.0,165.0,0.0,0.0,0.0,41927.0,4992.0,867.0,0.09,11.5,samples tested,132042.0,48554.0,47657.0,35831.0,,11.11,1308.82,50669.32,,,82.59,,64207
Bhutan,BTN,Asia,2024-08-04,62697.0,0.0,21.0,0.0,0.0,0.0,1711669.0,13010.0,8392.0,0.04,27.8,samples tested,2011426.0,699116.0,677669.0,634641.0,414.0,5.56,21.19,8708.6,1.5,1.7,71.78,0.65,782457
Bolivia,BOL,South America,2024-08-04,1212147.0,2.0,22387.0,0.0,0.17,0.02,4440371.0,6982.0,6277.0,0.07,13.8,tests performed,14690530.0,7361008.0,6160585.0,2167589.0,3953.0,24.07,10.2,6885.83,7.1,1.1,71.51,0.72,12224114
Bonaire Sint Eustatius and Saba,BES,North America,2024-08-04,11922.0,0.0,41.0,0.0,0.0,0.0,,,,,,,35845.0,19109.0,16736.0,,,,,,,,77.79,,27052
Bosnia and Herzegovina,BIH,Europe,2024-08-04,403666.0,0.0,16392.0,0.0,0.0,0.0,1499302.0,4188.0,3502.0,0.23,4.4,tests performed,1924950.0,943394.0,846080.0,120530.0,66884.0,25.93,68.5,11713.9,0.2,3.5,77.4,0.78,3233530
Botswana,BWA,Africa,2024-08-04,330696.0,0.0,2801.0,0.0,0.0,0.0,2285160.0,2647.0,857.0,0.05,20.7,tests performed,3171667.0,1951054.0,1663490.0,510809.0,10435.0,0.0,4.04,15807.37,,1.8,69.59,0.74,2630300
Brazil,BRA,South America,2024-08-04,37511921.0,0.0,702116.0,0.0,0.0,0.0,70923215.0,126242.0,121418.0,,,tests performed,486436436.0,189643431.0,176164186.0,126388587.0,24197.0,22.22,25.04,14103.45,3.4,2.2,75.88,0.76,215313504
British Virgin Islands,VGB,North America,2024-08-04,7557.0,0.0,64.0,0.0,0.0,0.0,96630.0,,,,,people tested,41453.0,19466.0,18261.0,3726.0,,,207.97,,,,79.07,,31332
Brunei,BRN,Asia,2024-08-04,347723.0,288.0,179.0,1.0,632.45,90.35,93192.0,297.0,,,,samples tested,1293100.0,451149.0,446714.0,340466.0,3827.0,11.11,81.35,71809.25,,2.7,75.86,0.84,449002
Bulgaria,BGR,Europe,2024-08-04,1329988.0,257.0,38700.0,0.0,37.65,5.38,10080207.0,4881.0,3104.0,0.08,12.9,tests performed,4726614.0,2155863.0,2078006.0,768430.0,3.0,11.11,65.18,18563.31,1.5,7.45,75.05,0.82,6781955
Burkina Faso,BFA,Africa,2024-08-04,22139.0,0.0,400.0,0.0,0.0,0.0,324773.0,41.0,291.0,0.0,624.3,tests performed,7893609.0,6089089.0,5232347.0,4056.0,,8.33,70.15,1703.1,43.7,0.4,61.58,0.45,22673764
Burundi,BDI,Africa,2024-08-04,54569.0,0.0,15.0,0.0,0.0,0.0,1611285.0,3281.0,1061.0,0.02,42.4,tests performed,42252.0,36909.0,36321.0,314.0,93.0,19.44,423.06,702.22,71.7,0.8,61.58,0.43,12889583
Cambodia,KHM,Asia,2024-08-04,139319.0,6.0,3056.0,0.0,0.35,0.05,2977609.0,3334.0,566.0,0.0,1772.7,tests performed,47826645.0,15316670.0,14693274.0,10782710.0,61376.0,5.56,90.67,3645.07,,0.8,69.82,0.59,16767851
Cameroon,CMR,Africa,2024-08-04,125246.0,0.0,1974.0,0.0,0.0,0.0,2731181.0,,608.0,0.0,33.7,tests performed,4880572.0,3753733.0,3197286.0,803560.0,9890.0,8.33,50.88,3364.93,23.8,1.3,59.29,0.56,27914542
Canada,CAN,North America,2024-08-04,4819055.0,38.0,55282.0,0.0,0.98,0.14,62177630.0,75648.0,27030.0,0.09,11.4,tests performed,102877159.0,34742937.0,31758251.0,34890285.0,1481.0,5.56,4.04,44017.59,0.5,2.5,82.43,0.93,38454328
Cape Verde,CPV,Africa,2024-08-04,64474.0,0.0,417.0,0.0,0.0,0.0,,904.0,324.0,0.12,8.6,tests performed,859940.0,356734.0,308720.0,749.0,4461.0,11.11,135.58,6222.55,,2.1,72.98,0.66,593162
Cayman Islands,CYM,North America,2024-08-04,31472.0,0.0,37.0,0.0,0.0,0.0,9358.0,2691.0,384.0,0.0,3.0,tests performed,152148.0,62113.0,60696.0,24064.0,226.0,,256.5,49903.03,,,83.92,,68722
Central African Republic,CAF,Africa,2024-08-04,15441.0,0.0,113.0,0.0,0.0,0.0,94759.0,,142.0,0.0,1.8,tests performed,3342248.0,2600389.0,2484985.0,366221.0,12887.0,8.33,7.48,661.24,,1.0,53.28,0.4,5579148
Chad,TCD,Africa,2024-08-04,7702.0,0.0,194.0,0.0,0.0,0.0,218873.0,,129.0,0.0,225.9,tests performed,9151765.0,5147667.0,5020360.0,4042573.0,,13.89,11.83,1768.15,38.4,,54.24,0.4,17723312
Chile,CHL,South America,2024-08-04,5401126.0,100.0,62730.0,0.0,5.11,0.73,39773213.0,58711.0,67521.0,0.15,6.7,tests performed,66864900.0,18088517.0,17700117.0,27474929.0,1342.0,13.89,24.28,22767.04,1.3,2.11,80.18,0.85,19603736
China,CHN,Asia,2024-08-04,99373219.0,2087.0,122304.0,15.0,1.46,0.21,9214000000.0,,14769984.0,0.0,637.8,tests performed,3491077000.0,1310292000.0,1276760000.0,826913000.0,420000.0,49.54,147.67,15308.71,0.7,4.34,76.91,0.76,1425887360
Colombia,COL,South America,2024-08-04,6391876.0,976.0,142727.0,0.0,18.86,2.7,35241195.0,9497.0,18395.0,0.08,11.8,tests performed,90931192.0,43012174.0,37204128.0,14944212.0,18933.0,19.44,44.22,13254.95,4.5,1.71,77.29,0.77,51874028
Comoros,COM,Africa,2024-08-04,9109.0,0.0,160.0,0.0,0.0,0.0,100289.0,,1306.0,0.0,4566.4,tests performed,835021.0,438825.0,397080.0,,,,437.35,1413.89,18.1,2.2,64.32,0.55,836783
Congo,COG,Africa,2024-08-04,25227.0,0.0,389.0,0.0,0.0,0.0,395040.0,,639.0,0.0,,tests performed,833210.0,695760.0,654119.0,,1486.0,13.89,15.4,4881.41,37.0,,64.57,0.57,5970430
Cook Islands,COK,Oceania,2024-08-04,7345.0,1.0,2.0,0.0,67.81,9.69,,,,,,,40854.0,15112.0,14728.0,10240.0,,,,,,,76.25,,17032
Costa Rica,CRI,North America,2024-08-04,1234701.0,0.0,9372.0,0.0,0.0,0.0,3677525.0,8616.0,11820.0,0.18,5.7,people tested,13576935.0,4650636.0,4369784.0,2986527.0,,11.11,96.08,15525.0,1.3,1.13,80.28,0.81,5180836
Cote d'Ivoire,CIV,Africa,2024-08-04,88434.0,0.0,835.0,0.0,0.0,0.0,1540831.0,635.0,1206.0,0.03,32.2,tests performed,25263932.0,13568372.0,12164304.0,3138712.0,20396.0,13.89,76.4,3601.01,28.2,,57.78,0.54,28160548
Croatia,HRV,Europe,2024-08-04,1317144.0,0.0,18752.0,0.0,0.0,0.0,4922712.0,5587.0,1521.0,0.22,4.6,people tested,5374628.0,2323025.0,2251809.0,594785.0,39.0,11.11,73.73,22669.8,0.7,5.54,78.49,0.85,4030361
Cuba,CUB,North America,2024-08-04,1113662.0,0.0,8530.0,0.0,0.0,0.0,5296762.0,38826.0,35601.0,0.09,11.4,tests performed,45995747.0,10805570.0,10053658.0,8792717.0,1435.0,11.11,110.41,,,5.2,78.8,0.78,11212198
Curacao,CUW,North America,2024-08-04,45883.0,0.0,305.0,0.0,0.0,0.0,22100.0,2303.0,329.0,0.22,4.6,tests performed,260324.0,108601.0,100885.0,49213.0,1.0,,362.64,,,,78.88,,191173
Cyprus,CYP,Europe,2024-08-04,696410.0,0.0,1451.0,0.0,0.0,0.0,29501771.0,67206.0,67201.0,0.03,39.1,tests performed,1798610.0,671193.0,646142.0,481275.0,1437.0,11.11,127.66,32415.13,,3.4,80.98,0.89,896007
Czechia,CZE,Europe,2024-08-12,4761919.0,571.0,43509.0,1.0,53.5,7.64,54587458.0,4000.0,3708.0,0.11,9.0,tests performed,19047108.0,6982006.0,6895763.0,5581388.0,4.0,11.11,137.18,32605.91,,6.63,79.38,0.9,10493990
Democratic Republic of Congo,COD,Africa,2024-08-04,101009.0,0.0,1474.0,0.0,0.0,0.0,1045120.0,,928.0,0.1,10.3,tests performed,18808671.0,17045721.0,14399520.0,,42303.0,25.0,35.88,808.13,77.1,,60.68,0.48,99010216
Denmark,DNK,Europe,2024-08-04,3435679.0,0.0,9693.0,0.0,0.0,0.0,64649913.0,7934.0,7179.0,0.19,5.2,tests performed,14961517.0,4746522.0,4712002.0,3617006.0,,11.11,136.52,46682.52,0.2,2.5,80.9,0.94,5882259
Djibouti,DJI,Africa,2024-08-04,15690.0,0.0,189.0,0.0,0.0,0.0,309732.0,912.0,196.0,0.0,31.2,tests performed,442199.0,421573.0,401208.0,,12179.0,2.78,41.28,2705.41,22.5,1.4,67.11,0.52,1120851
Dominica,DMA,North America,2024-08-04,16047.0,0.0,74.0,0.0,0.0,0.0,205366.0,341.0,356.0,0.0,6.0,tests performed,67647.0,32995.0,30659.0,3993.0,270.0,24.07,98.57,9673.37,,3.8,75.0,0.74,72758
Dominican Republic,DOM,North America,2024-08-04,661103.0,0.0,4384.0,0.0,0.0,0.0,3444251.0,3731.0,4839.0,0.15,6.6,samples tested,16430339.0,7367193.0,6130377.0,2574938.0,553.0,5.56,222.87,14600.86,1.6,1.6,74.08,0.76,11228821
East Timor,TLS,Asia,2024-08-04,23460.0,0.0,138.0,0.0,0.0,0.0,264839.0,504.0,145.0,0.0,253.9,tests performed,2028798.0,886838.0,801759.0,340201.0,7881.0,9.47,87.18,6570.1,30.3,5.9,69.5,0.61,1341298
Ecuador,ECU,South America,2024-08-04,1077445.0,157.0,36050.0,0.0,8.81,1.26,2870685.0,2817.0,4020.0,0.27,3.7,people tested,39564195.0,15333873.0,14240587.0,10554926.0,5540.0,11.11,66.94,10581.94,3.6,1.5,77.01,0.76,18001002
